id_juego,keyword
122,Conflictos
122,Desafío
122,Conflicts
122,Challenge
123,Start-Up
123,RRHH
123,Gamification
123,Gamificación
140,Dirección De Proyectos
140,Dirección Estratégica
140,Dirección De Operaciones
140,Gice
140,SIGE
140,Dirección De Empresas
140,Entorno Económico
140,Automatización Industrial
140,Diseño De Sistemas Productivos
140,TICs
140,Métodos cuantitativos
140,Ingeniería Económica
140,Estad...
140,NA
139,Dirección De Proyectos
139,Dirección Estratégica
139,Dirección De Operaciones
139,Gice
139,SIGE
139,Dirección De Empresas
139,Entorno Económico
139,Automatización Industrial
139,Diseño De Sistemas Productivos
139,TICs
139,Métodos cuantitativos
139,Ingeniería Económica
139,Estad...
139,NA
124,Gamificación
124,Microsoft
124,Office
124,Gamification
125,Gamificación
125,Juego
125,Gamification
125,Game
138,Dirección De Proyectos
138,Dirección Estratégica
138,Dirección De Operaciones
138,Gice
138,SIGE
138,Dirección De Empresas
138,Entorno Económico
138,Automatización Industrial
138,Diseño De Sistemas Productivos
138,TICs
138,Métodos cuantitativos
138,Ingeniería Económica
138,Estad...
138,NA
126,Empresa
126,Heroe
126,Estrategia
126,Start-Up
126,Company
126,Strategy
127,Equipo
127,Proyecto
127,Responsabilidades
127,Team
127,Project
127,Responsibilities
128,Mapeo De Flujo
128,Flujo
128,Cynefin
128,Value Stream Mapping
128,Flow
129,Equipo
129,Roles
129,Estrategia
129,Team
129,Strategy
130,Improvisación
130,Juego
130,Improvisation
130,Game
131,Castigos
131,Recompensas
131,Individualidades
131,Equipo
131,Punishments
131,Rewards
131,Team
131,Individuals
137,Dirección De Proyectos
137,Dirección Estratégica
137,Dirección De Operaciones
137,Gice
137,SIGE
137,Dirección De Empresas
137,Entorno Económico
137,Automatización Industrial
137,Diseño De Sistemas Productivos
137,TICs
137,Métodos cuantitativos
137,Ingeniería Económica
137,Estad...
137,Competition
137,Question
137,Game
132,Multitarea
132,Costes
132,Multitask
132,Costs
133,Retrospectiva
133,Matriz
133,Proyecto
133,Retrospective
133,Matrix
133,Project
134,Mapa
134,Empatía
134,Marketing
134,Cliente
134,Map
134,Empathy
134,Client
135,Juego Serio
135,Mejorar
135,Empresa
135,Serious Game
135,Improve
135,Company
136,Poker
136,Estimación
136,Scrum
136,Estimation
142,Software
142,Java
142,Programación
142,Online
142,Programming
143,Software
143,Programación
143,Online
143,Programming
144,Lean
144,Production
144,Simulation
144,Throughput
144,Inventory
144,Manufacturing
145,Lean
145,Kaizen
145,5S
145,Pull
145,Flow
145,Continuous improvement
146,Six Sigma
146,Quality
146,RTY
146,Defects
146,Process
146,Statistics
147,TOC
147,Bottleneck
147,DBR
147,Production planning
147,Operations management
147,Simulation
